priority,brand,source_type,evidence_kind,evidence_path_or_url,target_output,extraction_strategy,status,notes
high,ACANA,manufacturer_response,mixed,C:\Users\NIOstb\Desktop\photo_foods_nutritail\ACANA.docx,data/imports/acana_document_extract_v2.csv,"Extract document paragraphs/tables into raw rows, then normalize into Food V2 review CSV.",planned,Auto-registered local evidence document. Review source quality before extraction.
high,Ambrosia,manufacturer_response,mixed,C:\Users\NIOstb\Desktop\photo_foods_nutritail\ambrosia text.odt,data/imports/ambrosia_document_extract_v2.csv,"Extract document paragraphs/tables into raw rows, then normalize into Food V2 review CSV.",planned,Auto-registered local evidence document. Review source quality before extraction.
high,Josera,manufacturer_response,mixed,C:\Users\NIOstb\Desktop\photo_foods_nutritail\JOSERA ΠΕΡΙΓΡΑΦΕΣ.docx,data/imports/josera_document_extract_v2.csv,"Extract document paragraphs/tables into raw rows, then normalize into Food V2 review CSV.",planned,Auto-registered local evidence document. Review source quality before extraction.
high,ORIJEN,manufacturer_response,mixed,C:\Users\NIOstb\Desktop\photo_foods_nutritail\ORIJEN.docx,data/imports/orijen_document_extract_v2.csv,"Extract document paragraphs/tables into raw rows, then normalize into Food V2 review CSV.",planned,Auto-registered local evidence document. Review source quality before extraction.
high,Purina,manufacturer_response,mixed,C:\Users\NIOstb\Desktop\photo_foods_nutritail\PRO PLAN DOG.docx,data/imports/purina_document_extract_v2.csv,"Extract document paragraphs/tables into raw rows, then normalize into Food V2 review CSV.",planned,Auto-registered local evidence document. Review source quality before extraction.
high,Purina,manufacturer_response,mixed,C:\Users\NIOstb\Desktop\photo_foods_nutritail\PURINA (1) (1).docx,data/imports/purina_document_extract_v2.csv,"Extract document paragraphs/tables into raw rows, then normalize into Food V2 review CSV.",planned,Auto-registered local evidence document. Review source quality before extraction.
medium,Belcando,manufacturer_response,mixed,C:\Users\NIOstb\Desktop\photo_foods_nutritail\BELCANDO.docx,data/imports/belcando_document_extract_v2.csv,"Extract document paragraphs/tables into raw rows, then normalize into Food V2 review CSV.",planned,Auto-registered local evidence document. Review source quality before extraction.
medium,Prochoice,official_pdf,pdf,C:\Users\NIOstb\Desktop\photo_foods_nutritail\Παρουσιάση Prochoice 19.03.2020.pdf,data/imports/prochoice_document_extract_v2.csv,Extract product text and analytical tables; preserve page evidence references.,planned,Auto-registered local evidence document. Review source quality before extraction.
medium,Schesir/Gheda,manufacturer_response,mixed,C:\Users\NIOstb\Desktop\photo_foods_nutritail\Schesir Dry.odt,data/imports/schesir_gheda_document_extract_v2.csv,"Extract document paragraphs/tables into raw rows, then normalize into Food V2 review CSV.",planned,Auto-registered local evidence document. Review source quality before extraction.
medium,Schesir/Gheda,authorized_retailer,spreadsheet,C:\Users\NIOstb\Desktop\photo_foods_nutritail\Gheda-Schesir Σκύλου (Eshop).xlsx,data/imports/schesir_gheda_document_extract_v2.csv,Parse sheets into review rows; treat as retailer/supporting evidence unless manufacturer values are obvious.,planned,Auto-registered local evidence document. Review source quality before extraction.
medium,Schesir/Gheda,authorized_retailer,spreadsheet,C:\Users\NIOstb\Desktop\photo_foods_nutritail\Schesir - Gheda Marketplace.ods,data/imports/schesir_gheda_document_extract_v2.csv,Parse sheets into review rows; treat as retailer/supporting evidence unless manufacturer values are obvious.,planned,Auto-registered local evidence document. Review source quality before extraction.
medium,Unica,manufacturer_response,mixed,C:\Users\NIOstb\Desktop\photo_foods_nutritail\Unica Classe.docx,data/imports/unica_document_extract_v2.csv,"Extract document paragraphs/tables into raw rows, then normalize into Food V2 review CSV.",planned,Auto-registered local evidence document. Review source quality before extraction.
medium,Unica,manufacturer_response,mixed,C:\Users\NIOstb\Desktop\photo_foods_nutritail\Unica Natura.docx,data/imports/unica_document_extract_v2.csv,"Extract document paragraphs/tables into raw rows, then normalize into Food V2 review CSV.",planned,Auto-registered local evidence document. Review source quality before extraction.
medium,Unica,official_pdf,pdf,C:\Users\NIOstb\Desktop\photo_foods_nutritail\MONO UNICA NATURA.pdf,data/imports/unica_document_extract_v2.csv,Extract product text and analytical tables; preserve page evidence references.,planned,Auto-registered local evidence document. Review source quality before extraction.
low,ΑΝΑΛΥΣΗ ΞΗΡΑΣ ΓΑΤΑΣ,manufacturer_response,mixed,C:\Users\NIOstb\Desktop\photo_foods_nutritail\ΑΝΑΛΥΣΗ ΞΗΡΑΣ ΓΑΤΑΣ.docx,data/imports/_document_extract_v2.csv,"Extract document paragraphs/tables into raw rows, then normalize into Food V2 review CSV.",planned,Auto-registered local evidence document. Review source quality before extraction.
low,Ξηρές σκύλου - Eshop,authorized_retailer,spreadsheet,C:\Users\NIOstb\Desktop\photo_foods_nutritail\Ξηρές σκύλου - Eshop.xlsx,data/imports/eshop_document_extract_v2.csv,Parse sheets into review rows; treat as retailer/supporting evidence unless manufacturer values are obvious.,planned,Auto-registered local evidence document. Review source quality before extraction.
low,Περιγραφές Vet Eshop,manufacturer_response,mixed,C:\Users\NIOstb\Desktop\photo_foods_nutritail\Περιγραφές Vet Eshop.docx,data/imports/vet_eshop_document_extract_v2.csv,"Extract document paragraphs/tables into raw rows, then normalize into Food V2 review CSV.",planned,Auto-registered local evidence document. Review source quality before extraction.
low,ΠΡΟΙΟΝΤΑ ΓΙΑ ESHOP ΑΝΑ ΚΑΤΗΓΟΡΙΑ & ΠΑΡΕΤΟ ΓΙΑ ΛΟΥΚΑ,authorized_retailer,spreadsheet,C:\Users\NIOstb\Desktop\photo_foods_nutritail\ΠΡΟΙΟΝΤΑ ΓΙΑ ESHOP ΑΝΑ ΚΑΤΗΓΟΡΙΑ & ΠΑΡΕΤΟ ΓΙΑ ΛΟΥΚΑ.xlsx,data/imports/eshop_document_extract_v2.csv,Parse sheets into review rows; treat as retailer/supporting evidence unless manufacturer values are obvious.,planned,Auto-registered local evidence document. Review source quality before extraction.
low,AATU,manufacturer_response,mixed,C:\Users\NIOstb\Desktop\photo_foods_nutritail\aatu barking Heads.docx,data/imports/aatu_document_extract_v2.csv,"Extract document paragraphs/tables into raw rows, then normalize into Food V2 review CSV.",planned,Auto-registered local evidence document. Review source quality before extraction.
low,ESHOP - ΤΡΟΦΕΣ ΣΚΥΛΟΥ - ΓΑΤΑΣ,authorized_retailer,spreadsheet,C:\Users\NIOstb\Desktop\photo_foods_nutritail\ESHOP - ΤΡΟΦΕΣ ΣΚΥΛΟΥ - ΓΑΤΑΣ.xlsx,data/imports/eshop_document_extract_v2.csv,Parse sheets into review rows; treat as retailer/supporting evidence unless manufacturer values are obvious.,planned,Auto-registered local evidence document. Review source quality before extraction.
low,PA brochureA5-Dog&DogWILD EN rev01-2024,official_pdf,pdf,C:\Users\NIOstb\Desktop\photo_foods_nutritail\PA brochureA5-Dog&DogWILD EN rev01-2024.pdf,data/imports/pa_brochurea5_dog_dogwild_en_rev01_2024_document_extract_v2.csv,Extract product text and analytical tables; preserve page evidence references.,planned,Auto-registered local evidence document. Review source quality before extraction.
low,Pareto ανα κατηγορία για ESHOP,authorized_retailer,spreadsheet,C:\Users\NIOstb\Desktop\photo_foods_nutritail\Pareto ανα κατηγορία για ESHOP.xlsx,data/imports/pareto_eshop_document_extract_v2.csv,Parse sheets into review rows; treat as retailer/supporting evidence unless manufacturer values are obvious.,planned,Auto-registered local evidence document. Review source quality before extraction.
low,Sam's Field,manufacturer_response,mixed,C:\Users\NIOstb\Desktop\photo_foods_nutritail\Sam's Field.οκ.docx,data/imports/sam_s_field_document_extract_v2.csv,"Extract document paragraphs/tables into raw rows, then normalize into Food V2 review CSV.",planned,Auto-registered local evidence document. Review source quality before extraction.
